# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT:   FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T02:04:41.399
# DATE-END: 2026-01-17T02:04:41.543
# TSTART: 1768615481399.06
# TSTOP: 1768615481429.07
# DATE: 2026-01-17T02:04:42
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.749510296969
# DEC: 38.2090677789336
# EQUINOX: 2000.0
# CRVAL1: 166.749510296969
# CRVAL2: 38.2090677789335
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000226796293650545
# CD1_2: 0.00181246564352729
# CD2_1: -0.0018122943879315
# CD2_2: 0.000227911295012934
# A_ORDER: 2
# A_0_2: -7.21914561344158e-07
# A_1_1: -5.367376144132e-07
# A_2_0: 3.45928386076782e-07
# B_ORDER: 2
# B_0_2: 2.70347919132511e-06
# B_1_1: 1.49944888907765e-06
# B_2_0: -6.73708082021812e-07
# AP_ORDER: 2
# AP_0_0: -4.7576963564803e-05
# AP_0_1: -2.60476810656675e-06
# AP_0_2: 7.22164983697793e-07
# AP_1_0: -5.17600584302027e-07
# AP_1_1: 5.36866826625086e-07
# AP_2_0: -3.45976512584957e-07
# BP_ORDER: 2
# BP_0_0: 0.000173926656614517
# BP_0_1: 8.69669409009326e-06
# BP_0_2: -2.70436972019988e-06
# BP_1_0: 2.33481220815075e-06
# BP_1_1: -1.49978346635559e-06
# BP_2_0: 6.73843145004814e-07
# NOME_FILE_FITS: 20260117_020441.fits
#
# PARAMETRI SEGMENTAZIONE:
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,kron_flux,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,label
1482.8250309674697,760.8273552161174,166.13119708632058,38.24160535902108,8.0,19.0,84.96679328056304,1.6745248762954963,run_00000017,7,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,RA_166.129DEC38.242
1482.8250309674697,760.8273552161174,166.13119708632058,38.24160535902108,8.0,19.0,84.96679328056304,1.6745248762954963,run_00000017,7,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,RA_166.129DEC38.242
1482.8250309674697,760.8273552161174,166.13119708632058,38.24160535902108,8.0,19.0,84.96679328056304,1.6745248762954963,run_00000017,7,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,RA_166.129DEC38.242
1482.8250309674697,760.8273552161174,166.13119708632058,38.24160535902108,8.0,19.0,84.96679328056304,1.6745248762954963,run_00000017,7,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,RA_166.129DEC38.242
1482.8250309674697,760.8273552161174,166.13119708632058,38.24160535902108,8.0,19.0,84.96679328056304,1.6745248762954963,run_00000017,7,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,RA_166.129DEC38.242
1482.8250309674697,760.8273552161174,166.13119708632058,38.24160535902108,8.0,19.0,84.96679328056304,1.6745248762954963,run_00000017,7,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,RA_166.129DEC38.242
1482.8250309674697,760.8273552161174,166.13119708632058,38.24160535902108,8.0,19.0,84.96679328056304,1.6745248762954963,run_00000017,7,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,RA_166.129DEC38.242
1482.8250309674697,760.8273552161174,166.13119708632058,38.24160535902108,8.0,19.0,84.96679328056304,1.6745248762954963,run_00000017,7,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,RA_166.129DEC38.242
1482.8250309674697,760.8273552161174,166.13119708632058,38.24160535902108,8.0,19.0,84.96679328056304,1.6745248762954963,run_00000017,7,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,RA_166.129DEC38.242
